Date, Count
"February 16, 2016",3
"February 14, 2016",4
"February 13, 2016",3
"February 11, 2016",1
"February 10, 2016",1
"February 8, 2016",1
"February 7, 2016",1
"February 6, 2016",1
"February 4, 2016",9
"February 3, 2016",1
"February 2, 2016",2
"February 1, 2016",2
"January 31, 2016",1
"January 30, 2016",3
"January 29, 2016",2
"January 28, 2016",1
"January 27, 2016",1
"January 26, 2016",4
"January 25, 2016",5
"January 24, 2016",2
"January 23, 2016",2
"January 21, 2016",3
"January 20, 2016",1
"January 19, 2016",1
"January 17, 2016",1
"January 16, 2016",3
"January 15, 2016",1
"January 14, 2016",1
"January 13, 2016",3
"January 11, 2016",1
"January 9, 2016",2
"January 8, 2016",3
"January 7, 2016",2
"January 6, 2016",1
"January 5, 2016",5
"January 4, 2016",1
"January 3, 2016",1
"January 1, 2016",3
"December 29, 2015",1
"December 28, 2015",1
"December 27, 2015",2
"December 26, 2015",2
"December 25, 2015",1
"December 24, 2015",2
"December 23, 2015",2
"December 21, 2015",2
"December 20, 2015",2
"December 17, 2015",4
"December 16, 2015",1
"December 15, 2015",1
"December 13, 2015",1
"December 11, 2015",1
"December 10, 2015",1
"December 9, 2015",1
"December 6, 2015",1
"December 5, 2015",1
"December 4, 2015",2
"December 3, 2015",1
"December 1, 2015",2
"November 29, 2015",4
"November 28, 2015",2
"November 27, 2015",2
"November 26, 2015",2
"November 25, 2015",1
"November 23, 2015",1
"November 22, 2015",3
"November 21, 2015",2
"November 20, 2015",1
"November 18, 2015",2
"November 14, 2015",1
"November 12, 2015",2
"November 11, 2015",2
"November 9, 2015",1
"November 7, 2015",4
"November 5, 2015",1
"November 3, 2015",3
"November 2, 2015",2
"November 1, 2015",1
"October 31, 2015",1
"October 30, 2015",1
"October 26, 2015",2
"October 25, 2015",1
"October 24, 2015",3
"October 23, 2015",1
"October 19, 2015",2
"October 18, 2015",2
"October 16, 2015",2
"October 14, 2015",2
"October 13, 2015",1
"October 12, 2015",1
"October 11, 2015",1
"October 10, 2015",2
"October 9, 2015",1
"October 8, 2015",1
"October 7, 2015",1
"October 6, 2015",2
"October 4, 2015",1
"October 1, 2015",2
"September 30, 2015",2
"September 29, 2015",4
"September 28, 2015",3
"September 27, 2015",3
"September 26, 2015",2
"September 25, 2015",1
"September 24, 2015",2
"September 23, 2015",1
"September 22, 2015",2
"September 21, 2015",1
"September 20, 2015",6
"September 19, 2015",3
"September 18, 2015",1
"September 16, 2015",2
"September 15, 2015",1
"September 14, 2015",5
"September 13, 2015",1
"September 10, 2015",1
"September 9, 2015",1
"September 8, 2015",1
"September 7, 2015",2
"September 6, 2015",2
"September 5, 2015",2
"September 4, 2015",1
"September 3, 2015",2
"September 2, 2015",10
"September 1, 2015",1
"August 31, 2015",3
"August 30, 2015",2
"August 29, 2015",3
"August 28, 2015",1
"August 26, 2015",3
"August 25, 2015",3
"August 24, 2015",1
"August 23, 2015",3
"August 22, 2015",2
"August 21, 2015",2
"August 20, 2015",2
"August 19, 2015",2
"August 17, 2015",3
"August 16, 2015",2
"August 15, 2015",3
"August 14, 2015",1
"August 13, 2015",2
"August 11, 2015",2
"August 10, 2015",1
"August 9, 2015",1
"August 7, 2015",2
"August 6, 2015",3
"August 5, 2015",2
"August 4, 2015",1
"August 3, 2015",1
"August 2, 2015",3
"July 31, 2015",1
"July 30, 2015",1
"July 28, 2015",1
"July 26, 2015",4
"July 25, 2015",2
"July 24, 2015",1
"July 21, 2015",1
"July 20, 2015",1
"July 19, 2015",1
"July 18, 2015",3
"July 17, 2015",5
"July 16, 2015",1
"July 15, 2015",2
"July 13, 2015",1
"July 12, 2015",1
"July 11, 2015",5
"July 10, 2015",2
"July 9, 2015",2
"July 8, 2015",2
"July 7, 2015",1
"July 6, 2015",1
"July 5, 2015",7
"July 4, 2015",4
"July 3, 2015",3
"July 2, 2015",2
"July 1, 2015",1
"June 30, 2015",2
"June 29, 2015",1
"June 28, 2015",1
"June 27, 2015",3
"June 26, 2015",1
"June 25, 2015",2
"June 24, 2015",1
"June 23, 2015",2
"June 21, 2015",1
"June 20, 2015",2
"June 18, 2015",4
"June 17, 2015",1
"June 16, 2015",3
"June 15, 2015",1
"June 14, 2015",3
"June 13, 2015",2
"June 12, 2015",3
"June 11, 2015",1
"June 10, 2015",3
"June 8, 2015",2
"June 7, 2015",2
"June 6, 2015",1
"June 5, 2015",2
"June 4, 2015",1
"June 3, 2015",1
"June 2, 2015",2
"June 1, 2015",1
"May 31, 2015",3
"May 30, 2015",5
"May 29, 2015",1
"May 28, 2015",2
"May 25, 2015",3
"May 24, 2015",6
"May 23, 2015",4
"May 22, 2015",1
"May 21, 2015",1
"May 20, 2015",3
"May 18, 2015",1
"May 16, 2015",1
"May 14, 2015",1
"May 13, 2015",2
"May 11, 2015",1
"May 10, 2015",3
"May 9, 2015",1
"May 7, 2015",2
"May 5, 2015",1
"May 3, 2015",1
