Month, Total
Feb-16,29
Jan-16,54
Dec-15,32
Nov-15,37
Oct-15,30
Sep-15,63
Aug-15,54
Jul-15,56
Jun-15,49
May-15,48
Apr-15,36
Mar-15,34
Feb-15,20
Jan-15,29
Dec-14,39
Nov-14,38
Oct-14,36
Sep-14,46
Aug-14,48
Jul-14,38
Jun-14,37
May-14,41
Apr-14,37
Mar-14,23
Feb-14,21
Jan-14,20
Dec-13,38
Nov-13,28
Oct-13,32
Sep-13,42
Aug-13,50
Jul-13,47
Jun-13,44
May-13,44
Apr-13,25
Mar-13,16
Feb-13,13
Jan-13,41
Dec-12,24
Nov-12,39
Oct-12,37
Sep-12,44
Aug-12,55
Jul-12,49
Jun-12,47
May-12,50
Apr-12,39
Mar-12,53
Feb-12,27
Jan-12,40
Dec-11,38
Nov-11,37
Oct-11,44
Sep-11,40
Aug-11,35
Jul-11,55
Jun-11,45
May-11,38
Apr-11,30
Mar-11,23
Feb-11,24
Jan-11,28
Dec-10,23
Nov-10,33
Oct-10,36
Sep-10,31
Aug-10,57
Jul-10,42
Jun-10,49
May-10,46
Apr-10,46
Mar-10,31
Feb-10,22
Jan-10,22
Dec-09,36
Nov-09,37
Oct-09,37
Sep-09,43
Aug-09,48
Jul-09,57
Jun-09,45
May-09,47
Apr-09,40
Mar-09,20
Feb-09,25
Jan-09,25
Dec-08,30
Nov-08,40
Oct-08,50
Sep-08,55
Aug-08,48
Jul-08,62
Jun-08,52
May-08,42
Apr-08,47
Mar-08,33
Feb-08,20
Jan-08,34
Dec-07,34
Nov-07,30
Oct-07,38
Sep-07,49
Aug-07,47
Jul-07,44
Jun-07,47
May-07,34
Apr-07,36
Mar-07,41
Feb-07,22
Jan-07,26
Dec-06,33
Nov-06,43
Oct-06,41
Sep-06,58
Aug-06,32
Jul-06,66
Jun-06,45
May-06,42
Apr-06,37
Mar-06,34
Feb-06,17
Jan-06,29
Dec-05,30
Nov-05,29
Oct-05,41
Sep-05,32
Aug-05,53
Jul-05,58
Jun-05,50
May-05,43
Apr-05,36
Mar-05,37
Feb-05,24
Jan-05,20
Dec-04,31
Nov-04,32
Oct-04,34
Sep-04,33
Aug-04,53
Jul-04,53
Jun-04,46
May-04,34
Apr-04,30
Mar-04,43
Feb-04,36
Jan-04,29
Dec-03,43
Nov-03,51
Oct-03,53
Sep-03,51
Aug-03,48
Jul-03,68
Jun-03,52
May-03,59
Apr-03,57
Mar-03,52
Feb-03,31
Jan-03,39
Dec-02,70
Nov-02,39
Oct-02,57
Sep-02,67
Aug-02,77
Jul-02,68
Jun-02,66
May-02,51
Apr-02,43
Mar-02,42
Feb-02,32
Jan-02,45
Dec-01,49
Nov-01,64
Oct-01,71
Sep-01,71
Aug-01,58
Jul-01,78
Jun-01,69
May-01,42
Apr-01,59
Mar-01,37
Feb-01,27
Jan-01,42
