Date, Temp
"January 1, 2001",20
"January 2, 2001",13
"January 3, 2001",18
"January 4, 2001",26
"January 5, 2001",32
"January 6, 2001",27
"January 7, 2001",30
"January 8, 2001",22
"January 9, 2001",18
"January 10, 2001",27
"January 11, 2001",31
"January 12, 2001",32
"January 13, 2001",35
"January 14, 2001",35
"January 15, 2001",34
"January 16, 2001",30
"January 17, 2001",24
"January 18, 2001",26
"January 19, 2001",24
"January 20, 2001",20
"January 21, 2001",20
"January 22, 2001",22
"January 23, 2001",30
"January 24, 2001",24
"January 25, 2001",20
"January 26, 2001",28
"January 27, 2001",22
"January 28, 2001",22
"January 29, 2001",36
"January 30, 2001",36
"January 31, 2001",33
"February 1, 2001",21
"February 2, 2001",7
"February 3, 2001",21
"February 4, 2001",34
"February 5, 2001",30
"February 6, 2001",32
"February 7, 2001",28
"February 8, 2001",44
"February 9, 2001",38
"February 10, 2001",18
"February 11, 2001",20
"February 12, 2001",32
"February 13, 2001",36
"February 14, 2001",34
"February 15, 2001",32
"February 16, 2001",25
"February 17, 2001",14
"February 18, 2001",18
"February 19, 2001",36
"February 20, 2001",29
"February 21, 2001",16
"February 22, 2001",24
"February 23, 2001",24
"February 24, 2001",42
"February 25, 2001",42
"February 26, 2001",32
"February 27, 2001",24
"February 28, 2001",20
"March 1, 2001",32
"March 2, 2001",37
"March 3, 2001",37
"March 4, 2001",30
"March 5, 2001",24
"March 6, 2001",28
"March 7, 2001",34
"March 8, 2001",32
"March 9, 2001",32
"March 10, 2001",38
"March 11, 2001",34
"March 12, 2001",42
"March 13, 2001",38
"March 14, 2001",40
"March 15, 2001",42
"March 16, 2001",34
"March 17, 2001",32
"March 18, 2001",35
"March 19, 2001",38
"March 20, 2001",42
"March 21, 2001",43
"March 22, 2001",45
"March 23, 2001",42
"March 24, 2001",30
"March 25, 2001",22
"March 26, 2001",25
"March 27, 2001",32
"March 28, 2001",39
"March 29, 2001",42
"March 30, 2001",44
"March 31, 2001",46
"April 1, 2001",40
"April 2, 2001",48
"April 3, 2001",42
"April 4, 2001",46
"April 5, 2001",52
"April 6, 2001",55
"April 7, 2001",64
"April 8, 2001",63
"April 9, 2001",54
"April 10, 2001",50
"April 11, 2001",65
"April 12, 2001",58
"April 13, 2001",53
"April 14, 2001",55
"April 15, 2001",50
"April 16, 2001",38
"April 17, 2001",38
"April 18, 2001",42
"April 19, 2001",54
"April 20, 2001",66
"April 21, 2001",71
"April 22, 2001",67
"April 23, 2001",60
"April 24, 2001",52
"April 25, 2001",54
"April 26, 2001",62
"April 27, 2001",58
"April 28, 2001",55
"April 29, 2001",63
"April 30, 2001",72
"May 1, 2001",75
"May 2, 2001",73
"May 3, 2001",75
"May 4, 2001",57
"May 5, 2001",60
"May 6, 2001",67
"May 7, 2001",64
"May 8, 2001",64
"May 9, 2001",70
"May 10, 2001",73
"May 11, 2001",60
"May 12, 2001",50
"May 13, 2001",54
"May 14, 2001",59
"May 15, 2001",75
"May 16, 2001",78
"May 17, 2001",75
"May 18, 2001",67
"May 19, 2001",64
"May 20, 2001",67
"May 21, 2001",64
"May 22, 2001",55
"May 23, 2001",54
"May 24, 2001",54
"May 25, 2001",54
"May 26, 2001",52
"May 27, 2001",54
"May 28, 2001",59
"May 29, 2001",58
"May 30, 2001",53
"May 31, 2001",56
"June 1, 2001",57
"June 2, 2001",58
"June 3, 2001",54
"June 4, 2001",52
"June 5, 2001",54
"June 6, 2001",60
"June 7, 2001",62
"June 8, 2001",62
"June 9, 2001",69
"June 10, 2001",75
"June 11, 2001",80
"June 12, 2001",76
"June 13, 2001",83
"June 14, 2001",82
"June 15, 2001",74
"June 16, 2001",75
"June 17, 2001",76
"June 18, 2001",82
"June 19, 2001",78
"June 20, 2001",70
"June 21, 2001",64
"June 22, 2001",62
"June 23, 2001",63
"June 24, 2001",69
"June 25, 2001",75
"June 26, 2001",78
"June 27, 2001",78
"June 28, 2001",78
"June 29, 2001",78
"June 30, 2001",80
"July 1, 2001",68
"July 2, 2001",65
"July 3, 2001",71
"July 4, 2001",80
"July 5, 2001",67
"July 6, 2001",66
"July 7, 2001",76
"July 8, 2001",80
"July 9, 2001",81
"July 10, 2001",81
"July 11, 2001",72
"July 12, 2001",72
"July 13, 2001",72
"July 14, 2001",74
"July 15, 2001",77
"July 16, 2001",78
"July 17, 2001",80
"July 18, 2001",80
"July 19, 2001",81
"July 20, 2001",83
"July 21, 2001",84
"July 22, 2001",84
"July 23, 2001",83
"July 24, 2001",82
"July 25, 2001",74
"July 26, 2001",73
"July 27, 2001",70
"July 28, 2001",73
"July 29, 2001",82
"July 30, 2001",80
"July 31, 2001",85
"August 1, 2001",86
"August 2, 2001",78
"August 3, 2001",80
"August 4, 2001",76
"August 5, 2001",80
"August 6, 2001",82
"August 7, 2001",85
"August 8, 2001",86
"August 9, 2001",83
"August 10, 2001",74
"August 11, 2001",72
"August 12, 2001",74
"August 13, 2001",72
"August 14, 2001",68
"August 15, 2001",70
"August 16, 2001",68
"August 17, 2001",70
"August 18, 2001",67
"August 19, 2001",68
"August 20, 2001",68
"August 21, 2001",70
"August 22, 2001",80
"August 23, 2001",74
"August 24, 2001",74
"August 25, 2001",76
"August 26, 2001",76
"August 27, 2001",76
"August 28, 2001",73
"August 29, 2001",72
"August 30, 2001",78
"August 31, 2001",70
"September 1, 2001",64
"September 2, 2001",67
"September 3, 2001",75
"September 4, 2001",70
"September 5, 2001",70
"September 6, 2001",76
"September 7, 2001",79
"September 8, 2001",78
"September 9, 2001",67
"September 10, 2001",67
"September 11, 2001",67
"September 12, 2001",72
"September 13, 2001",64
"September 14, 2001",60
"September 15, 2001",60
"September 16, 2001",63
"September 17, 2001",63
"September 18, 2001",63
"September 19, 2001",64
"September 20, 2001",64
"September 21, 2001",65
"September 22, 2001",64
"September 23, 2001",60
"September 24, 2001",52
"September 25, 2001",50
"September 26, 2001",60
"September 27, 2001",55
"September 28, 2001",56
"September 29, 2001",57
"September 30, 2001",58
"October 1, 2001",65
"October 2, 2001",68
"October 3, 2001",70
"October 4, 2001",56
"October 5, 2001",49
"October 6, 2001",44
"October 7, 2001",42
"October 8, 2001",54
"October 9, 2001",64
"October 10, 2001",62
"October 11, 2001",58
"October 12, 2001",57
"October 13, 2001",63
"October 14, 2001",55
"October 15, 2001",48
"October 16, 2001",48
"October 17, 2001",43
"October 18, 2001",53
"October 19, 2001",54
"October 20, 2001",58
"October 21, 2001",60
"October 22, 2001",60
"October 23, 2001",62
"October 24, 2001",54
"October 25, 2001",40
"October 26, 2001",39
"October 27, 2001",42
"October 28, 2001",44
"October 29, 2001",52
"October 30, 2001",50
"November 1, 2001",62
"November 2, 2001",58
"November 3, 2001",54
"November 4, 2001",53
"November 5, 2001",46
"November 6, 2001",50
"November 7, 2001",58
"November 8, 2001",46
"November 9, 2001",42
"November 10, 2001",50
"November 11, 2001",44
"November 12, 2001",45
"November 13, 2001",55
"November 14, 2001",57
"November 15, 2001",61
"November 16, 2001",55
"November 17, 2001",54
"November 18, 2001",57
"November 19, 2001",47
"November 20, 2001",36
"November 21, 2001",46
"November 22, 2001",48
"November 23, 2001",54
"November 24, 2001",59
"November 25, 2001",47
"November 26, 2001",45
"November 27, 2001",45
"November 28, 2001",40
"November 29, 2001",44
"November 30, 2001",45
"December 1, 2001",38
"December 2, 2001",44
"December 3, 2001",49
"December 4, 2001",58
"December 5, 2001",60
"December 6, 2001",45
"December 7, 2001",41
"December 8, 2001",41
"December 9, 2001",34
"December 10, 2001",39
"December 11, 2001",38
"December 12, 2001",45
"December 13, 2001",39
"December 14, 2001",36
"December 15, 2001",37
"December 16, 2001",44
"December 17, 2001",41
"December 18, 2001",39
"December 19, 2001",36
"December 20, 2001",34
"December 21, 2001",34
"December 22, 2001",42
"December 23, 2001",27
