Month, Average
Jan-01,36
Feb-01,44
Mar-01,46
Apr-01,72
May-01,78
Jun-01,83
Jul-01,85
Aug-01,86
Sep-01,79
Oct-01,70
Nov-01,62
Dec-01,60
Jan-02,49
Feb-02,49
Mar-02,54
Apr-02,78
May-02,78
Jun-02,84
Jul-02,89
Aug-02,85
Sep-02,82
Oct-02,76
Nov-02,58
Dec-02,50
Jan-03,46
Feb-03,39
Mar-03,62
Apr-03,74
May-03,68
Jun-03,82
Jul-03,85
Aug-03,86
Sep-03,76
Oct-03,69
Nov-03,60
Dec-03,46
Jan-04,51
Feb-04,50
Mar-04,60
Apr-04,70
May-04,76
Jun-04,82
Jul-04,82
Aug-04,80
Sep-04,78
Oct-04,68
Nov-04,58
Dec-04,46
Jan-05,48
Feb-05,45
Mar-05,65
Apr-05,70
May-05,71
Jun-05,86
Jul-05,91
Aug-05,84
Sep-05,83
Oct-05,80
Nov-05,62
Dec-05,40
Jan-06,46
Feb-06,41
Mar-06,58
Apr-06,71
May-06,83
Jun-06,82
Jul-06,88
Aug-06,89
Sep-06,75
Oct-06,72
Nov-06,60
Dec-06,52
Jan-07,48
Feb-07,38
Mar-07,72
Apr-07,70
May-07,79
Jun-07,82
Jul-07,84
Aug-07,82
Sep-07,82
Oct-07,80
Nov-07,58
Dec-07,44
Jan-08,59
Feb-08,40
Mar-08,50
Apr-08,66
May-08,74
Jun-08,82
Jul-08,82
Aug-08,81
Sep-08,80
Oct-08,74
Nov-08,64
Dec-08,50
Jan-09,28
Feb-09,56
Mar-09,60
Apr-09,70
May-09,73
Jun-09,85
Jul-09,78
Aug-09,84
Sep-09,73
Oct-09,62
Nov-09,62
Dec-09,44
Jan-10,39
Feb-10,35
Mar-10,64
Apr-10,72
May-10,82
Jun-10,80
Jul-10,84
Aug-10,84
Sep-10,79
Oct-10,72
Nov-10,59
Dec-10,50
Jan-11,30
Feb-11,54
Mar-11,58
Apr-11,73
May-11,80
Jun-11,87
Jul-11,91
Aug-11,83
Sep-11,86
Oct-11,72
Nov-11,60
Dec-11,48
Jan-12,51
Feb-12,48
Mar-12,76
Apr-12,68
May-12,85
Jun-12,89
Jul-12,94
Aug-12,84
Sep-12,80
Oct-12,70
Nov-12,61
Dec-12,60
Jan-13,51
Feb-13,42
Mar-13,49
Apr-13,73
May-13,79
Jun-13,79
Jul-13,88
Aug-13,87
Sep-13,87
Oct-13,73
Nov-13,56
Dec-13,50
Jan-14,38
Feb-14,43
Mar-14,56
Apr-14,69
May-14,81
Jun-14,86
Jul-14,82
Aug-14,83
Sep-14,80
Oct-14,71
Nov-14,55
Dec-14,50
Jan-15,39
Feb-15,37
Mar-15,59
Apr-15,65
May-15,78
Jun-15,83
Jul-15,85
Aug-15,82
Sep-15,84
Oct-15,68
Nov-15,66
Dec-15,59
Jan-16,43
Feb-16,54
